Dimension,Quartile,N,CATE_fare_mean,CATE_fare_pct,CATE_fare_std,CATE_pax_mean,CATE_pax_pct
HHI,Q1 (Low),812,-0.038220810680476114,-3.749961294044013,0.05900078857263841,0.06941042976103687,7.187604871108211
HHI,Q2,811,-0.06625686659979328,-6.410956557992953,0.057599499248041135,0.1195321925519615,12.696952350818336
HHI,Q3,811,-0.09287332137585497,-8.869106365342638,0.06405559646036968,0.17513898034497272,19.141178792780302
HHI,Q4 (High),811,-0.13727558790264893,-12.827004520422513,0.06704033454211879,0.26755029850828416,30.67593562294091
Distance,Q1 (Short),812,-0.1777689304163249,-16.286416222865807,0.05673527108743482,0.33003394797008595,39.10153498097257
Distance,Q2,811,-0.07824903750783506,-7.526589561146513,0.0358065229964814,0.16428960206863857,17.855557780848173
Distance,Q3,811,-0.04727546682817288,-4.617538564314916,0.033014027474306755,0.07871356510681891,8.189438538138273
Distance,Q4 (Long),811,-0.03116108260824583,-3.0680580000805646,0.04636023317814352,0.05827342533241462,6.000478825176003
Passenger Density,Q1 (Low),812,-0.10294631645144532,-9.782459584134651,0.07947344441183014,0.23303428196796552,26.242475699051337
Passenger Density,Q2,811,-0.07416512370101588,-7.148163920602002,0.07614482093948335,0.14151283021267133,15.201528476709392
Passenger Density,Q3,811,-0.06988858342061466,-6.750229017657572,0.05986426360018026,0.1240048349498106,13.20213442523277
Passenger Density,Q4 (High),811,-0.0875467534841303,-8.382396377223756,0.06605379964312318,0.13287819836107664,14.211087888169782
