,Coefficient,Std_Error,P_Value,CI_Lower,CI_Upper
Tau_-8,0.01719688490945967,0.005251983116463404,0.0010596526432924414,0.006902998001191398,0.02749077181772794
Tau_-7,0.015582864675217505,0.005638238701635276,0.005715416320296596,0.004531916820012364,0.026633812530422647
Tau_-6,0.01913147079728071,0.005530711445735809,0.0005423157184845095,0.008291276363638526,0.029971665230922897
Tau_-5,0.023209945848486752,0.004686483286278471,7.346627057813748e-07,0.014024438607380948,0.03239545308959256
Tau_-4,0.016323929140613837,0.004596288555069337,0.0003832873299356443,0.007315203572677937,0.025332654708549736
Tau_-3,0.014388217162282701,0.004662309500416776,0.002029187307976077,0.005250090541465821,0.023526343783099583
Tau_-2,0.012452853882934756,0.004267629048957225,0.003524466056023856,0.004088300946978596,0.020817406818890917
Tau_0,-0.09817295175314268,0.0076772658515897405,0.0,-0.11322039282225857,-0.0831255106840268
Tau_1,-0.10658646288071576,0.009129090529223583,0.0,-0.12447948031799398,-0.08869344544343753
Tau_2,-0.0725255183416183,0.007402481623822863,0.0,-0.08703438232431111,-0.05801665435892549
Tau_3,-0.04706591409130025,0.007469196009699085,2.972626589325955e-10,-0.06170553827031046,-0.032426289912290046
Tau_4,-0.09484169648297475,0.00971023352187613,0.0,-0.11387375418585197,-0.07580963878009753
Tau_5,-0.09846621068148251,0.011201682231528788,0.0,-0.12042150785527893,-0.07651091350768609
Tau_6,-0.0787301303958058,0.011321214623522521,3.5837999234900053e-12,-0.10091971105790995,-0.05654054973370166
Tau_7,-0.036877129335785463,0.010615302557417019,0.0005132234320912588,-0.05768312234832282,-0.01607113632324811
Tau_8,-0.08339842460777216,0.012138909960491811,6.4710459213301874e-12,-0.10719068813033611,-0.05960616108520822
